batter,Name,launch_angle,launch_speed,bat_speed,release_speed,squared_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666134,Nolan Jones,-13,111.7,74.5641,96.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605141,Mookie Betts,48,84.2,68.2166,95.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543760,Marcus Semien,-52,53.7,62.2621,76.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608841,Joey Meneses,-24,99,68.5915,95.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663656,Kyle Tucker,29,70.7,63.9821,85.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665742,Juan Soto,-40,83.1,78.2559,93.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669397,Nick Allen,25,94.3,65.7455,87.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500743,Miguel Rojas,-44,98.2,68.0508,94.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643396,Isiah Kiner-Falefa,-27,93.5,66.6733,77.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668930,Brice Turang,32,78.5,62.0032,84.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543309,Kyle Higashioka,43,91.4,73.4799,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647304,Josh Naylor,46,81.6,73.6748,95.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608070,Jose Ramirez,56,93.5,72.0837,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808982,Jung Hoo Lee,-66,,65.4808,97.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663527,Tyler Nevin,-21,65,61.8625,87.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680977,Brendan Donovan,17,89.2,67.6306,90.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646240,Rafael Devers,-6,92.9,73.0543,91.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665833,Oneil Cruz,-15,102.4,85.5164,83.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670541,Yordan Alvarez,26,108.2,79.3116,93.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682998,Corbin Carroll,66,79.5,70.788,95.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680776,Jarren Duran,11,68.4,71.2966,82.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
